timestamp,hostname,os,cpu_percent,memory_total,memory_used,memory_free,memory_used_percent,disk_total,disk_used,disk_free,disk_used_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,open_ports,read_bytes,write_bytes
2026-05-28T09:47:46+05:30,LAPTOP-F0GM9FUB,windows,22.42,16876888064,16290414592,586473472,96.00,510830571520,231685312512,279145259008,45.35,48975930,344682077,117371,284658,16,474383331840,170526848512
2026-05-28T09:48:01+05:30,LAPTOP-F0GM9FUB,windows,26.84,16876888064,16239112192,637775872,96.00,510830571520,231695474688,279135096832,45.36,49038950,344729448,117484,284796,16,475379739136,170558858752
2026-05-28T09:48:16+05:30,LAPTOP-F0GM9FUB,windows,20.49,16876888064,16155127808,721760256,95.00,510830571520,231700144128,279130427392,45.36,49065019,344759993,117535,284873,16,475545242624,170566866432
2026-05-28T09:48:31+05:30,LAPTOP-F0GM9FUB,windows,21.08,16876888064,16283062272,593825792,96.00,510830571520,231707754496,279122817024,45.36,49119884,344785069,117601,284964,16,475652172288,170576000512
2026-05-28T09:48:46+05:30,LAPTOP-F0GM9FUB,windows,21.47,16876888064,16242311168,634576896,96.00,510830571520,231526031360,279304540160,45.32,49201139,344818903,117729,285090,16,475908713472,170598659584
2026-05-28T10:08:15+05:30,LAPTOP-F0GM9FUB,windows,25.38,16876888064,15563202560,1313685504,92.00,510830571520,231663489024,279167082496,45.35,63055731,505444608,158447,410399,16,529084603904,181785783808
2026-05-28T10:08:30+05:30,LAPTOP-F0GM9FUB,windows,25.64,16876888064,15953637376,923250688,94.00,510830571520,231665299456,279165272064,45.35,63111182,505488020,158537,410522,16,529809255936,181929893376
2026-05-28T10:08:45+05:30,LAPTOP-F0GM9FUB,windows,31.01,16876888064,15916228608,960659456,94.00,510830571520,231670489088,279160082432,45.35,63172166,505534848,158624,410661,16,531593372672,182005605888
