timestamp,hostname,os,cpu_percent,memory_total,memory_used,memory_free,memory_used_percent,disk_total,disk_used,disk_free,disk_used_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,open_ports,read_bytes,write_bytes
2026-05-26T14:46:12+05:30,LAPTOP-F0GM9FUB,windows,0.00,16876888064,15271608320,1605279744,90.00,510830571520,203271929856,307558641664,39.79,177443661,1138573215,554692,1345747,16,31093003776,25167292928
2026-05-26T14:46:17+05:30,LAPTOP-F0GM9FUB,windows,15.56,16876888064,15100559360,1776328704,89.00,510830571520,203277869056,307552702464,39.79,177452396,1138587702,554724,1345788,16,31096899584,25175063040
2026-05-26T14:46:22+05:30,LAPTOP-F0GM9FUB,windows,14.90,16876888064,15164751872,1712136192,89.00,510830571520,203278348288,307552223232,39.79,177501285,1138615373,554787,1345871,16,31101106176,25177676288
2026-05-26T14:46:27+05:30,LAPTOP-F0GM9FUB,windows,15.36,16876888064,15138095104,1738792960,89.00,510830571520,203278352384,307552219136,39.79,177522290,1138639273,554829,1345922,16,31101237248,25178147328
2026-05-26T14:46:32+05:30,LAPTOP-F0GM9FUB,windows,14.76,16876888064,15142621184,1734266880,89.00,510830571520,203278495744,307552075776,39.79,177535473,1138661425,554875,1345992,16,31310475264,25179867648
2026-05-26T14:46:37+05:30,LAPTOP-F0GM9FUB,windows,14.00,16876888064,15227097088,1649790976,90.00,510830571520,203280621568,307549949952,39.79,177576558,1138670794,554931,1346041,16,31311143936,25181870592
2026-05-26T14:46:42+05:30,LAPTOP-F0GM9FUB,windows,14.50,16876888064,15266189312,1610698752,90.00,510830571520,203285381120,307545190400,39.80,177616787,1138717613,555002,1346152,16,31312878592,25184311808
2026-05-26T14:46:47+05:30,LAPTOP-F0GM9FUB,windows,14.48,16876888064,15271731200,1605156864,90.00,510830571520,203285852160,307544719360,39.80,177712257,1138756431,555105,1346276,16,31313985536,25187039744
2026-05-26T14:46:52+05:30,LAPTOP-F0GM9FUB,windows,13.83,16876888064,15254376448,1622511616,90.00,510830571520,203286052864,307544518656,39.80,177758736,1138788079,555170,1346352,16,31314830336,25188452864
2026-05-26T14:46:57+05:30,LAPTOP-F0GM9FUB,windows,16.08,16876888064,15244984320,1631903744,90.00,510830571520,203286151168,307544420352,39.80,177771172,1138816078,555201,1346399,16,31315473408,25189771776
2026-05-26T14:47:02+05:30,LAPTOP-F0GM9FUB,windows,15.09,16876888064,15296999424,1579888640,90.00,510830571520,203286347776,307544223744,39.80,177780452,1138833284,555228,1346436,16,31316128768,25190894080
2026-05-26T14:47:07+05:30,LAPTOP-F0GM9FUB,windows,18.53,16876888064,15379161088,1497726976,91.00,510830571520,203286450176,307544121344,39.80,177805324,1138844832,555255,1346482,15,31320165376,25192274432
2026-05-26T14:47:12+05:30,LAPTOP-F0GM9FUB,windows,18.22,16876888064,15400353792,1476534272,91.00,510830571520,203286450176,307544121344,39.80,177827919,1138874161,555305,1346557,15,31321972736,25193249280
2026-05-26T14:47:17+05:30,LAPTOP-F0GM9FUB,windows,16.87,16876888064,15388213248,1488674816,91.00,510830571520,203286548480,307544023040,39.80,177878439,1138932464,555420,1346703,15,31323205632,25195018752
2026-05-26T14:47:22+05:30,LAPTOP-F0GM9FUB,windows,14.10,16876888064,15304556544,1572331520,90.00,510830571520,203286642688,307543928832,39.80,177898171,1138960936,555466,1346774,15,31326306816,25196292608
2026-05-26T14:47:27+05:30,LAPTOP-F0GM9FUB,windows,17.85,16876888064,15281319936,1595568128,90.00,510830571520,203300921344,307529650176,39.80,177909476,1138979191,555500,1346833,15,31330451968,25209469440
2026-05-26T14:47:32+05:30,LAPTOP-F0GM9FUB,windows,19.12,16876888064,15285669888,1591218176,90.00,510830571520,203288899584,307541671936,39.80,177929246,1139002149,555543,1346893,15,31331353088,25213917696
2026-05-26T14:47:37+05:30,LAPTOP-F0GM9FUB,windows,20.98,16876888064,15503986688,1372901376,91.00,510830571520,203289092096,307541479424,39.80,178024523,1139031100,555599,1346983,15,31334249984,25215875584
2026-05-26T14:47:42+05:30,LAPTOP-F0GM9FUB,windows,16.93,16876888064,15526309888,1350578176,91.00,510830571520,203289288704,307541282816,39.80,178028103,1139038684,555608,1347003,15,31335538176,25217047040
2026-05-26T14:47:47+05:30,LAPTOP-F0GM9FUB,windows,19.74,16876888064,15545380864,1331507200,92.00,510830571520,203289391104,307541180416,39.80,178147846,1139055734,555727,1347072,15,31336636928,25218120192
2026-05-26T14:47:52+05:30,LAPTOP-F0GM9FUB,windows,17.91,16876888064,15413768192,1463119872,91.00,510830571520,203293126656,307537444864,39.80,178242916,1139112750,555837,1347197,15,31337571840,25219291648
2026-05-26T14:47:57+05:30,LAPTOP-F0GM9FUB,windows,21.47,16876888064,15258095616,1618792448,90.00,510830571520,203293319168,307537252352,39.80,178248058,1139121879,555858,1347227,15,31341966848,25220450816
2026-05-26T14:48:02+05:30,LAPTOP-F0GM9FUB,windows,20.13,16876888064,15149522944,1727365120,89.00,510830571520,203293409280,307537162240,39.80,178264050,1139139724,555896,1347276,15,31342921216,25221827072
2026-05-26T14:48:07+05:30,LAPTOP-F0GM9FUB,windows,15.67,16876888064,15083282432,1793605632,89.00,510830571520,203293343744,307537227776,39.80,178337296,1139153007,555972,1347335,15,31343019520,25222486528
2026-05-26T14:48:12+05:30,LAPTOP-F0GM9FUB,windows,14.19,16876888064,15109038080,1767849984,89.00,510830571520,203294375936,307536195584,39.80,178394062,1139170108,556039,1347392,15,31343363584,25224116736
2026-05-26T14:48:17+05:30,LAPTOP-F0GM9FUB,windows,18.13,16876888064,15040782336,1836105728,89.00,510830571520,203286487040,307544084480,39.80,178441470,1139187948,556102,1347449,15,31343711744,25224579584
2026-05-26T14:48:22+05:30,LAPTOP-F0GM9FUB,windows,14.85,16876888064,15012192256,1864695808,88.00,510830571520,203286421504,307544150016,39.80,178489561,1139230452,556180,1347563,15,31343777280,25225308672
2026-05-26T14:48:27+05:30,LAPTOP-F0GM9FUB,windows,13.95,16876888064,15010328576,1866559488,88.00,510830571520,203286523904,307544047616,39.80,178511560,1139245478,556218,1347613,15,31343842816,25225771520
2026-05-26T14:48:32+05:30,LAPTOP-F0GM9FUB,windows,11.25,16876888064,15009460224,1867427840,88.00,510830571520,203286622208,307543949312,39.80,178532780,1139255823,556248,1347650,15,31349212672,25226480128
2026-05-26T14:48:37+05:30,LAPTOP-F0GM9FUB,windows,18.62,16876888064,15048482816,1828405248,89.00,510830571520,203287183360,307543388160,39.80,178555643,1139273154,556284,1347702,15,31455741952,25228245504
2026-05-26T14:48:42+05:30,LAPTOP-F0GM9FUB,windows,16.55,16876888064,15021424640,1855463424,89.00,510830571520,203291570176,307539001344,39.80,178582630,1139289749,556326,1347746,15,31462737920,25230133760
2026-05-26T14:48:47+05:30,LAPTOP-F0GM9FUB,windows,14.80,16876888064,15017316352,1859571712,88.00,510830571520,203291602944,307538968576,39.80,178614502,1139299105,556372,1347789,15,31462868992,25230764544
2026-05-26T14:48:52+05:30,LAPTOP-F0GM9FUB,windows,15.32,16876888064,15012110336,1864777728,88.00,510830571520,203291693056,307538878464,39.80,178682162,1139348669,556463,1347913,15,31462983680,25231727104
2026-05-26T14:48:57+05:30,LAPTOP-F0GM9FUB,windows,14.49,16876888064,15026618368,1850269696,89.00,510830571520,203291758592,307538812928,39.80,178714878,1139358920,556501,1347949,15,31463454720,25232042496
2026-05-26T14:49:02+05:30,LAPTOP-F0GM9FUB,windows,16.31,16876888064,15060520960,1816367104,89.00,510830571520,203291955200,307538616320,39.80,178737921,1139368233,556526,1347978,15,31465119232,25233205760
2026-05-26T14:49:07+05:30,LAPTOP-F0GM9FUB,windows,15.98,16876888064,15194894336,1681993728,90.00,510830571520,203292123136,307538448384,39.80,178764816,1139380347,556563,1348019,15,31466745344,25234045440
2026-05-26T14:49:12+05:30,LAPTOP-F0GM9FUB,windows,14.46,16876888064,15170469888,1706418176,89.00,510830571520,203292188672,307538382848,39.80,178837851,1139404426,556653,1348091,15,31467294208,25234790912
2026-05-26T14:49:17+05:30,LAPTOP-F0GM9FUB,windows,14.99,16876888064,15107375104,1769512960,89.00,510830571520,203292377088,307538194432,39.80,178893496,1139416258,556719,1348146,15,31467359744,25235675648
2026-05-26T14:49:22+05:30,LAPTOP-F0GM9FUB,windows,13.15,16876888064,15113801728,1763086336,89.00,510830571520,203292479488,307538092032,39.80,178963709,1139433617,556791,1348204,15,31467400704,25236400640
2026-05-26T14:49:27+05:30,LAPTOP-F0GM9FUB,windows,13.91,16876888064,15097880576,1779007488,89.00,510830571520,203292418048,307538153472,39.80,179009557,1139460571,556851,1348270,15,31468226560,25237285376
2026-05-26T14:49:32+05:30,LAPTOP-F0GM9FUB,windows,18.99,16876888064,15151915008,1724973056,89.00,510830571520,203292512256,307538059264,39.80,179281546,1139567870,557113,1348505,15,31477096960,25238563328
2026-05-26T14:49:37+05:30,LAPTOP-F0GM9FUB,windows,20.97,16876888064,15182479360,1694408704,89.00,510830571520,203292631040,307537940480,39.80,179337318,1139601841,557198,1348594,15,31477408256,25239329280
2026-05-26T14:49:42+05:30,LAPTOP-F0GM9FUB,windows,25.43,16876888064,15035473920,1841414144,89.00,510830571520,203286896640,307543674880,39.80,179401258,1139631792,557295,1348691,15,31478141440,25241545216
2026-05-26T14:49:47+05:30,LAPTOP-F0GM9FUB,windows,25.04,16876888064,14884958208,1991929856,88.00,510830571520,203287519232,307543052288,39.80,179713494,1139700879,557599,1348900,15,31482262016,25242552832
2026-05-26T14:49:52+05:30,LAPTOP-F0GM9FUB,windows,17.20,16876888064,14887157760,1989730304,88.00,510830571520,203292258304,307538313216,39.80,179818154,1139723366,557705,1348997,15,31487279616,25249479168
2026-05-26T14:51:21+05:30,LAPTOP-F0GM9FUB,windows,19.51,16876888064,14719840256,2157047808,87.00,510830571520,203339632640,307490938880,39.81,180771134,1140255389,558836,1350438,15,31646834176,25418107392
2026-05-26T14:51:26+05:30,LAPTOP-F0GM9FUB,windows,21.76,16876888064,14791962624,2084925440,87.00,510830571520,203341959168,307488612352,39.81,180870805,1140292813,558958,1350561,15,31651970560,25421711872
2026-05-26T14:51:31+05:30,LAPTOP-F0GM9FUB,windows,20.19,16876888064,14837968896,2038919168,87.00,510830571520,203344588800,307485982720,39.81,180937572,1140318569,559036,1350635,15,31656881664,25425730048
2026-05-26T14:51:36+05:30,LAPTOP-F0GM9FUB,windows,22.46,16876888064,14854053888,2022834176,88.00,510830571520,203350142976,307480428544,39.81,180950464,1140330818,559063,1350669,15,31660998144,25427319296
2026-05-26T14:51:41+05:30,LAPTOP-F0GM9FUB,windows,22.48,16876888064,14848348160,2028539904,87.00,510830571520,203352571904,307477999616,39.81,180995299,1140346727,559115,1350728,15,31665765888,25431505408
2026-05-26T14:51:46+05:30,LAPTOP-F0GM9FUB,windows,19.88,16876888064,14842716160,2034171904,87.00,510830571520,203169488896,307661082624,39.77,181049467,1140368330,559180,1350798,15,31670705664,25436199424
2026-05-26T14:51:51+05:30,LAPTOP-F0GM9FUB,windows,16.27,16876888064,14835593216,2041294848,87.00,510830571520,203170209792,307660361728,39.77,181056886,1140377886,559203,1350834,15,31671846400,25438659072
2026-05-26T14:51:56+05:30,LAPTOP-F0GM9FUB,windows,14.60,16876888064,14853685248,2023202816,88.00,510830571520,203170496512,307660075008,39.77,181106498,1140390982,559257,1350883,15,31671911936,25440399872
2026-05-26T14:52:01+05:30,LAPTOP-F0GM9FUB,windows,17.02,16876888064,14925574144,1951313920,88.00,510830571520,203175391232,307655180288,39.77,181220530,1140428692,559378,1350980,15,31672865280,25443078656
2026-05-26T14:52:06+05:30,LAPTOP-F0GM9FUB,windows,19.96,16876888064,14919745536,1957142528,88.00,510830571520,203175772160,307654799360,39.77,181231669,1140438017,559403,1351011,15,31673364992,25444893184
