timestamp,hostname,os,cpu_percent,memory_total,memory_used,memory_free,memory_used_percent,disk_total,disk_used,disk_free,disk_used_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,open_ports,read_bytes,write_bytes
2026-06-02T22:38:04+05:30,LAPTOP-F0GM9FUB,windows,18.76,16876888064,15285309440,1591578624,90.00,510830571520,210980298752,299850272768,41.30,479097264,772231624,262790,829118,23,45593126912,20526838784
2026-06-02T22:39:04+05:30,LAPTOP-F0GM9FUB,windows,20.93,16876888064,14158417920,2718470144,83.00,510830571520,210984914944,299845656576,41.30,492811488,774109544,264988,837613,22,45714175488,20761179136
2026-06-02T22:40:04+05:30,LAPTOP-F0GM9FUB,windows,19.89,16876888064,14310174720,2566713344,84.00,510830571520,211044339712,299786231808,41.31,504834245,774809148,266814,844029,23,45881110016,20886774784
2026-06-02T22:41:05+05:30,LAPTOP-F0GM9FUB,windows,21.76,16876888064,14490791936,2386096128,85.00,510830571520,211055206400,299775365120,41.32,513695726,778927186,269457,852712,23,45922134016,20972729344
2026-06-02T22:42:04+05:30,LAPTOP-F0GM9FUB,windows,19.96,16876888064,14326124544,2550763520,84.00,510830571520,211049136128,299781435392,41.31,522180682,782601587,271523,860969,23,45937809920,20983079936
2026-06-02T22:43:05+05:30,LAPTOP-F0GM9FUB,windows,21.86,16876888064,14365765632,2511122432,85.00,510830571520,211052576768,299777994752,41.32,530410800,786451612,273605,868728,23,46002033152,21022614528
2026-06-02T22:44:05+05:30,LAPTOP-F0GM9FUB,windows,23.77,16876888064,13928927232,2947960832,82.00,510830571520,211058753536,299771817984,41.32,530713366,790143296,274709,872296,23,46057465344,21053891584
2026-06-02T22:45:04+05:30,LAPTOP-F0GM9FUB,windows,19.91,16876888064,14550876160,2326011904,86.00,510830571520,211059527680,299771043840,41.32,531076216,792819123,275788,875104,23,46218826752,21073163264
2026-06-02T22:46:05+05:30,LAPTOP-F0GM9FUB,windows,27.59,16876888064,13460475904,3416412160,79.00,510830571520,211064070144,299766501376,41.32,532408367,797997538,278710,880935,23,46487883264,21851743232
2026-06-02T22:47:05+05:30,LAPTOP-F0GM9FUB,windows,21.75,16876888064,13566373888,3310514176,80.00,510830571520,211073122304,299757449216,41.32,535281082,854232447,286797,921436,23,46854594560,21911430144
2026-06-02T22:48:05+05:30,LAPTOP-F0GM9FUB,windows,20.98,16876888064,13440978944,3435909120,79.00,510830571520,211079929856,299750641664,41.32,536436441,858597794,288946,926203,23,49562587648,21985256448
2026-06-02T22:49:04+05:30,LAPTOP-F0GM9FUB,windows,20.74,16876888064,13041979392,3834908672,77.00,510830571520,211082108928,299748462592,41.32,537629584,859685024,290588,928305,23,50075225600,22048625664
2026-06-02T22:50:04+05:30,LAPTOP-F0GM9FUB,windows,17.60,16876888064,13227753472,3649134592,78.00,510830571520,211087536128,299743035392,41.32,538111309,864061285,291830,933265,23,50270730752,22119289856
2026-06-02T22:51:05+05:30,LAPTOP-F0GM9FUB,windows,23.67,16876888064,14011834368,2865053696,83.00,510830571520,211118096384,299712475136,41.33,561243671,865069236,294815,938736,23,53121097728,22184563712
2026-06-02T22:52:04+05:30,LAPTOP-F0GM9FUB,windows,20.54,16876888064,14654562304,2222325760,86.00,510830571520,211157819392,299672752128,41.34,562043347,892513638,299126,962236,23,53909339648,22250199552
2026-06-02T22:53:04+05:30,LAPTOP-F0GM9FUB,windows,17.43,16876888064,14167040000,2709848064,83.00,510830571520,211396042752,299434528768,41.38,562394645,893314023,299946,963456,23,53990763008,22301157888
